Number,Station,x,y
-3.9,USC00027855,34.2639,110.0075
-3.35,USC00028012,34.5081,110.0839
-4.45,USC00028162,34.1311,109.275
-8.6,USC00028329,35.3694,111.5436
9.15,USC00028396,32.7225,113.9192
11.65,USC00028499,33.4258,111.9217
12.5,USC00028569,32.0139,111.2639
9.15,USC00028590,32.3392,110.9808
5.55,USC00028619,31.7119,110.0686
10.6,USC00028641,33.4203,112.86
-3.9,USC00028792,36.1306,111.2436
8.6,USC00028795,32.2542,111.1961
9.75,USC00028796,32.2817,110.9442
5.55,USC00028865,31.5678,111.0497
7.25,USC00028904,34.7706,112.0264
0.0,USC00029114,36.9953,111.4914
-5.85,USC00029156,35.1722,111.5097
2.75,USC00029158,34.9281,112.8097
8.35,USC00029309,34.7056,113.6125
4.15,USC00029334,32.2553,109.8369
1.4,USC00029359,35.2414,112.1928
12.25,USC00029464,33.7775,112.5231
-2.8,USC00029542,35.5247,111.3703
11.65,USC00029634,33.595,112.3014
8.6,USC00029645,34.8775,114.1344
13.05,USC00029656,32.7275,114.6217
-0.85,USC00030064,35.9308,-91.055
2.5,USC00030130,34.7961,-92.8417
3.35,USC00030220,34.1433,-93.0589
3.3,USC00030240,34.025,-91.3444
3.6,USC00030286,33.6194,-94.0994
-1.4,USC00030458,35.8306,-91.7944
-0.55,USC00030460,35.7594,-91.6383
0.25,USC00030536,35.4586,-91.0567
3.3,USC00030582,34.5675,-92.6006
1.4,USC00030664,34.4619,-93.9983
3.35,USC00030764,34.5697,-93.1947
2.2,USC00030798,35.1161,-93.6506
2.8,USC00030806,35.9239,-89.9044
0.55,USC00030832,35.0931,-93.9258
0.3,USC00030936,34.8822,-91.2153
3.35,USC00031102,34.9817,-92.0064
-1.1,USC00031132,36.1092,-92.1636
4.15,USC00031140,33.3064,-92.4833
3.9,USC00031152,33.59,-92.8236
0.0,USC00031457,35.5328,-93.4036
1.1,USC00031459,35.5,-93.4728
1.95,USC00031596,35.1033,-92.4903
-0.55,USC00031632,36.4197,-90.5858
5.0,USC00031730,33.1111,-91.9481
1.4,USC00031838,35.2342,-93.1675
-3.05,USC00031900,35.8272,-93.2044
2.2,USC00031948,34.0464,-94.3481
5.8,USC00031962,33.5597,-91.385
2.5,USC00031968,34.9772,-91.4978
3.6,USC00032148,33.8886,-91.5317
6.4,USC00032355,33.1144,-91.2628
-3.35,USC00032356,36.4164,-93.7917
-1.4,USC00032366,36.0803,-91.6147
3.6,USC00032540,33.8228,-92.3989
-1.65,USC00032794,35.9886,-92.7161
0.3,USC00032978,35.5206,-91.9997
-1.95,USC00033132,36.2747,-91.5056
3.3,USC00033242,34.5211,-90.59
2.8,USC00033428,33.7092,-93.5564
3.6,USC00033466,34.5128,-93.0486
-2.8,USC00033544,36.07,-93.7522
1.1,USC00033734,35.8489,-90.6589
3.6,USC00033821,35.6872,-90.0964
1.4,USC00033862,34.6033,-91.9928
-3.3,USC00033909,36.0086,-93.5206
-3.9,USC00034106,36.4194,-92.9158
3.6,USC00034134,34.1742,-92.5947
3.6,USC00034185,33.3614,-93.5675
1.7,USC00034528,35.0264,-90.7347
3.85,USC00034548,33.2586,-93.1822
3.65,USC00034562,34.3947,-92.8364
2.75,USC00034638,34.7392,-90.7664
0.0,USC00034756,34.5978,-94.29
3.05,USC00034839,33.6772,-93.9903
1.95,USC00034938,35.1581,-92.7672
2.5,USC00034988,34.5408,-93.5878
0.85,USC00035018,35.6494,-94.1542
-1.95,USC00035036,36.3458,-92.3939
2.2,USC00035079,34.0783,-93.7019
3.35,USC00035112,33.9292,-93.8508
0.85,USC00035186,35.6042,-91.2744
2.8,USC00035200,34.9553,-93.1594
1.4,USC00035563,36.0336,-90.4978
3.85,USC00035754,34.2256,-92.0186
0.25,USC00035820,36.2642,-90.9683
0.85,USC00035831,35.5325,-90.6872
4.7,USC00035866,33.2511,-91.5058
3.05,USC00035908,33.8203,-93.3878
2.5,USC00036174,33.9539,-92.2019
3.6,USC00036376,34.3703,-91.1242
-1.95,USC00036403,36.3561,-91.8036
1.95,USC00036562,34.3019,-92.3914
3.3,USC00036768,33.9153,-92.8267
3.6,USC00036920,34.4744,-91.4172
0.25,USC00036928,35.3028,-93.6369
-0.8,USC00037488,34.9228,-94.0944
6.1,USC00037582,33.6044,-92.0997
2.75,USC00037712,35.1242,-90.1805
-4.15,USC00037963,35.855,-94.0203
0.85,USC00038010,35.1817,-92.4958
2.5,USC00038052,35.2547,-90.7964
14.2,USC00040136,32.8358,116.7775
6.95,USC00040174,34.1614,115.8045
16.95,USC00040192,33.8647,117.8425
8.05,USC00040212,38.5731,122.4406
11.1,USC00040232,37.9833,121.7525
9.7,USC00040343,36.4914,118.8253
7.5,USC00040379,37.0919,119.5128
6.95,USC00040436,35.2761,116.0628
8.05,USC00040449,36.9092,119.0883
5.85,USC00040521,34.8928,117.0219
11.15,USC00040673,37.0856,122.0797
12.8,USC00040693,37.8744,122.2606
5.0,USC00040738,40.7406,123.2078
7.75,USC00040741,34.2431,116.9169
2.75,USC00040820,37.2322,118.5994
11.95,USC00040924,33.6131,114.5972
-2.75,USC00040931,39.3886,120.0936
-0.85,USC00040943,38.2119,119.0142
11.65,USC00040983,33.2558,116.4036
-1.35,USC00041072,38.2575,119.2286
13.65,USC00041194,34.1867,118.3481
2.75,USC00041214,40.8803,121.6547
8.05,USC00041244,35.4028,119.47
11.35,USC00041253,34.5822,119.9817
1.1,USC00041277,38.2769,120.3114
8.05,USC00041316,41.3378,122.8247
13.65,USC00041424,32.6264,116.47
11.65,USC00041428,38.2486,120.8433
2.8,USC00041497,40.1706,121.0886
11.95,USC00041534,36.4806,121.7244
0.55,USC00041614,41.53,120.1792
4.15,USC00041697,37.9747,119.9161
0.55,USC00041700,40.3033,121.2422
9.2,USC00041738,33.6617,115.7206
14.15,USC00041758,32.64,117.0858
6.7,USC00041838,38.7931,123.0264
11.15,USC00041864,36.1356,120.3606
8.6,USC00041912,39.0911,120.9481
9.2,USC00041948,39.1875,122.0269
11.65,USC00041967,37.9833,122.0692
10.8,USC00042081,39.8158,123.2444
12.8,USC00042147,41.7958,124.2147
14.7,USC00042214,34.005,118.4139
4.7,USC00042239,32.9897,116.5872
10.3,USC00042294,38.535,121.7761
10.25,USC00042319,36.4622,116.8669
10.0,USC00042410,33.7378,115.3925
-0.85,USC00042467,39.3239,120.2331
3.6,USC00042500,39.5633,120.8239
5.0,USC00042506,39.9717,120.0828
2.8,USC00042574,41.1831,122.2817
10.6,USC00042598,33.8089,115.4508
14.4,USC00042706,32.8006,116.9281
12.8,USC00042713,32.7669,115.5617
5.55,USC00042771,34.5892,117.6303
13.05,USC00042805,33.6861,117.3458
10.0,USC00042934,38.2736,122.0678
8.9,USC00043083,36.3642,120.1561
4.45,USC00043157,41.8714,120.1575
12.2,USC00043161,39.5092,123.7567
13.35,USC00043244,37.5422,122.0158
10.0,USC00043256,36.7672,119.7092
10.3,USC00043261,36.9969,119.7072
16.4,USC00043392,34.0869,118.4794
11.95,USC00043417,37.0031,121.5608
5.55,USC00043463,35.7269,118.7006
3.65,USC00043551,36.7375,118.9619
7.5,USC00043573,39.2042,121.0681
10.55,USC00043578,38.4306,122.8647
5.3,USC00043669,37.8444,120.2258
5.55,USC00043710,36.1389,117.9528
11.65,USC00043714,37.4725,122.4433
8.85,USC00043747,36.3158,119.6369
2.5,USC00043824,40.9317,121.5433
10.55,USC00043855,33.7044,115.6289
11.4,USC00043875,38.6294,122.8664
11.65,USC00043882,35.6842,121.1683
11.65,USC00043896,33.7381,116.8939
6.65,USC00043914,33.2372,116.7614
3.85,USC00043939,37.9614,119.7831
11.4,USC00044025,36.8483,121.4214
7.25,USC00044211,33.7572,116.7067
11.65,USC00044223,32.8489,115.5667
5.3,USC00044232,36.7981,118.2036
14.75,USC00044259,33.7086,116.2153
6.7,USC00044278,35.6514,117.8214
12.25,USC00044297,34.1472,115.1219
11.95,USC00044303,33.72,117.7231
0.55,USC00044374,41.2683,120.2947
5.55,USC00044394,34.3592,116.5378
6.95,USC00044405,34.1472,116.2747
5.55,USC00044412,33.0764,116.5925
12.5,USC00044500,37.9567,122.5447
8.85,USC00044534,36.0067,119.96
11.4,USC00044555,36.2069,121.1378
10.0,USC00044712,38.4919,122.0039
0.3,USC00044881,37.9567,119.1194
10.55,USC00044890,36.3817,119.0264
10.0,USC00044957,36.2033,119.0545
12.2,USC00044997,37.6928,121.8144
-2.5,USC00045026,36.6044,118.7325
9.7,USC00045064,34.6539,120.4514
10.55,USC00045118,37.0564,120.8667
11.4,USC00045123,37.2319,121.9592
7.8,USC00045233,36.9539,120.0378
1.35,USC00045311,40.5411,121.5767
9.75,USC00045360,38.4917,122.1242
10.55,USC00045378,38.0131,122.1142
12.8,USC00045502,33.5697,116.0731
9.15,USC00045532,37.2889,120.5158
0.8,USC00045679,40.3458,121.6092
7.2,USC00045721,34.9436,115.5469
5.0,USC00045756,35.0492,118.1619
16.95,USC00045790,34.0192,118.1053
12.2,USC00045795,36.5903,121.9056
13.35,USC00045802,36.5928,121.8556
7.75,USC00045860,34.0864,116.5622
14.7,USC00045866,35.3669,120.8447
-0.25,USC00045892,35.4592,115.5311
10.3,USC00045915,37.8792,121.9303
6.4,USC00045933,37.3436,121.6425
6.65,USC00045968,32.8672,116.4194
4.2,USC00045983,41.3219,122.3178
12.8,USC00046006,34.2308,118.0711
11.65,USC00046074,38.2778,122.2647
6.95,USC00046136,39.2467,121.0008
13.3,USC00046144,37.5147,122.0325
9.15,USC00046154,34.9456,119.6828
14.15,USC00046161,34.3933,118.5939
11.4,USC00046168,37.2811,121.0178
10.25,USC00046174,38.0047,120.4864
12.5,USC00046175,33.6031,117.8836
12.8,USC00046198,33.2717,115.4772
15.55,USC00046263,34.2447,118.525
13.9,USC00046336,37.7983,122.2642
10.0,USC00046370,38.3858,122.9661
13.05,USC00046377,33.2097,117.395
13.6,USC00046386,33.1553,116.1689
10.0,USC00046399,34.4478,119.2275
8.9,USC00046506,39.7458,122.1997
8.9,USC00046508,41.3089,123.5317
9.2,USC00046521,39.5178,121.5531
13.85,USC00046572,34.2067,119.1375
9.75,USC00046610,36.715,121.3492
6.4,USC00046624,34.5883,118.0939
12.8,USC00046635,33.8275,116.5097
13.35,USC00046657,33.3781,116.84
8.3,USC00046685,39.7539,121.6242
10.85,USC00046699,34.2903,114.1708
15.3,USC00046719,34.1483,118.1447
10.0,USC00046730,35.6278,120.6856
7.25,USC00046773,34.5025,117.8969
10.0,USC00046826,38.2578,122.6078
10.0,USC00046926,36.4819,121.1822
8.9,USC00046960,38.6956,120.8244
8.65,USC00047109,39.3619,123.1286
8.35,USC00047150,36.1883,120.6953
6.1,USC00047195,39.9367,120.9475
6.4,USC00047253,35.3692,117.6525
12.5,USC00047306,34.0369,117.1947
12.2,USC00047339,37.4767,122.2386
9.7,USC00047404,40.0261,123.7931
10.8,USC00047643,38.5067,122.4714
12.25,USC00047668,36.6594,121.6664
12.75,USC00047741,32.7653,117.2314
11.95,USC00047767,37.7281,122.5053
15.0,USC00047785,34.0842,118.1003
11.4,USC00047813,33.7964,116.9753
11.4,USC00047851,35.3056,120.6619
13.65,USC00047874,33.0956,116.9975
12.5,USC00047880,37.9983,122.5372
16.4,USC00047888,33.7442,117.8667
11.95,USC00047902,34.4167,119.6844
12.5,USC00047916,36.9878,121.9994
17.75,USC00047953,34.0075,118.4997
11.35,USC00047965,38.4558,122.7133
12.25,USC00048045,40.4833,124.1039
8.65,USC00048122,35.4867,119.1458
6.35,USC00048135,40.7142,122.4161
8.05,USC00048200,35.9717,116.2708
8.6,USC00048273,37.3133,122.185
7.25,USC00048353,37.9672,120.3872
1.4,USC00048380,37.5122,119.6331
9.2,USC00048490,39.8778,123.7275
7.5,USC00048587,39.5861,122.5342
2.8,USC00048606,39.5631,121.1078
4.45,USC00048702,40.4167,120.6631
8.9,USC00048713,38.3772,120.8008
8.3,USC00048752,35.1503,119.43
1.1,USC00048758,39.1678,120.1428
2.5,USC00048829,35.1011,118.4222
8.35,USC00048839,35.0233,118.7497
7.75,USC00048917,36.465,118.8619
11.65,USC00049001,37.7958,121.5831
3.35,USC00049026,40.7264,122.7947
6.95,USC00049035,35.7636,117.3908
2.2,USC00049040,39.3181,120.145
5.3,USC00049053,41.96,121.4744
10.3,USC00049073,37.5019,120.8456
7.25,USC00049102,34.1206,115.85
8.6,USC00049099,34.1281,116.0369
9.75,USC00049111,34.9881,120.3211
10.25,USC00049122,39.1467,123.2103
14.45,USC00049152,34.0697,118.4428
4.15,USC00049325,34.5292,117.2928
0.85,USC00049351,39.8056,120.1858
10.25,USC00049367,36.3283,119.2997
15.0,USC00049378,33.2353,117.2322
12.75,USC00049473,36.9308,121.7692
6.65,USC00049490,40.7367,122.9403
7.5,USC00049621,40.6117,122.5281
6.65,USC00049684,39.4194,123.3425
10.0,USC00049742,38.5253,121.9778
10.55,USC00049781,38.6828,121.7939
12.75,USC00049785,34.1819,118.5744
5.55,USC00049822,34.3617,117.6386
3.1,USC00049866,41.7031,122.6414
-5.25,USC00050109,40.155,103.1417
-10.55,USC00050128,37.4703,105.8569
-8.05,USC00050214,39.4992,108.3808
-13.9,USC00050263,38.9931,105.8914
-1.1,USC00050306,38.6842,102.1614
-9.7,USC00050372,39.1853,106.8381
-10.0,USC00050454,39.4053,105.4764
-9.15,USC00050776,37.4786,105.5717
-12.5,USC00050797,38.4667,107.1678
-7.5,USC00050825,39.1025,107.8989
-3.35,USC00050834,39.6567,102.1192
-1.1,USC00050848,39.9919,105.2667
-6.1,USC00050945,40.6344,104.3286
-4.75,USC00050950,39.9436,104.8361
-5.3,USC00051060,40.6158,105.2969
-5.3,USC00051071,38.8247,106.1275
-1.95,USC00051121,39.3061,102.2608
-6.1,USC00051179,39.7406,104.1275
-9.45,USC00051186,39.6553,105.7089
-0.25,USC00051268,37.0103,102.5536
-0.8,USC00051294,38.46,105.2256
-3.9,USC00051401,39.4106,104.9058
-6.95,USC00051443,38.9044,107.8914
-5.8,USC00051528,39.2203,105.2783
-3.05,USC00051539,38.115,103.51
-1.65,USC00051564,38.8575,102.3328
-9.45,USC00051609,38.4433,107.5569
-3.3,USC00051620,40.3964,102.6967
-17.2,USC00051660,39.3672,106.1897
-2.75,USC00051681,39.8958,105.3847
-14.15,USC00051713,38.4431,106.7617
-10.55,USC00051743,39.2367,107.9797
-8.05,USC00051772,39.1014,108.7339
-7.8,USC00051886,37.3444,108.595
-8.9,USC00051932,40.4517,107.5906
-15.0,USC00051948,37.8256,106.9319
-17.5,USC00051959,38.8739,106.9772
-8.6,USC00051964,37.9806,105.6897
-8.9,USC00051977,38.7956,105.2003
-2.75,USC00051996,40.86,102.8031
-9.45,USC00052184,37.6911,106.3078
-2.5,USC00052223,39.7294,105.0083
-13.05,USC00052281,39.6261,106.0353
-9.7,USC00052286,40.2442,108.9725
-10.3,USC00052342,37.7672,108.9119
-8.35,USC00052441,37.2911,107.8564
-3.35,USC00052446,38.4758,102.7769
-4.4,USC00052631,39.3803,104.6289
-6.1,USC00052761,40.3489,105.52
-6.65,USC00052790,39.6381,105.315
-7.5,USC00052816,39.2219,105.9936
-5.0,USC00052947,40.6483,102.8594
-1.95,USC00052965,38.9128,105.285
-2.75,USC00053005,40.5764,105.0858
-3.35,USC00053006,40.5756,105.0236
-10.25,USC00053016,37.2308,108.0514
-5.8,USC00053038,40.2569,103.87
-10.3,USC00053116,39.9425,105.8172
-6.4,USC00053146,39.1444,108.7281
-9.7,USC00053246,38.6878,108.9608
-3.6,USC00053258,39.2772,103.4944
-7.25,USC00053261,39.7053,105.6997
-9.75,USC00053307,38.9539,109.0528
-4.45,USC00053359,39.5181,107.3172
2.2,USC00053387,39.7197,105.2472
-10.85,USC00053446,40.5092,106.0056
-5.85,USC00053489,39.0422,108.4664
-6.65,USC00053496,40.2669,105.8322
-10.3,USC00053500,40.185,105.8667
-8.6,USC00053530,39.4608,105.6786
-9.75,USC00053541,37.7333,105.5119
-3.05,USC00053553,40.4022,104.6992
-3.35,USC00053629,39.9364,105.3503
-3.05,USC00053652,38.6867,105.3925
-13.9,USC00053662,38.5253,106.9672
-7.5,USC00053867,40.4925,107.2547
-12.5,USC00053951,37.7494,107.095
-11.1,USC00054054,40.9683,105.9986
-1.4,USC00054078,38.0636,102.1289
-3.35,USC00054082,40.5453,102.3411
-12.8,USC00054135,40.5831,105.6319
-6.15,USC00054172,39.1439,103.4897
-3.3,USC00054242,39.7033,102.2939
-9.45,USC00054254,37.0856,107.5333
-4.15,USC00054380,39.6553,102.6805
-1.65,USC00054388,38.0633,102.9297
